1-3 tahun,1350
4-6 tahun,1400
7-9 tahun,1650
10-12 tahun (laki-laki),2000
13-15 tahun (laki-laki),2400
16-18 tahun (laki-laki),2650
19-29 tahun (laki-laki),2650
30-49 tahun (laki-laki),2550
50-64 tahun (laki-laki),2150
65-80 tahun (laki-laki),1800
80+ tahun (laki-laki),1600
10-12 tahun (perempuan),1900
13-15 tahun (perempuan),2050
16-18 tahun (perempuan),2100
19-29 tahun (perempuan),2250
30-49 tahun (perempuan),2150
50-64 tahun (perempuan),1800
65-80 tahun (perempuan),1550
80+ tahun (perempuan),1400
